
Epoch [15/150], Step [4/4],                     Training Loss: 0.4994, Validation Loss: 0.4937,                     Val. error (in %) = 93.25%
Epoch [30/150], Step [4/4],                     Training Loss: 0.3458, Validation Loss: 0.3353,                     Val. error (in %) = 76.70%
Epoch [45/150], Step [4/4],                     Training Loss: 0.0943, Validation Loss: 0.0937,                     Val. error (in %) = 40.87%
Epoch [60/150], Step [4/4],                     Training Loss: 0.0126, Validation Loss: 0.0121,                     Val. error (in %) = 14.64%
Epoch [75/150], Step [4/4],                     Training Loss: 0.0051, Validation Loss: 0.0057,                     Val. error (in %) = 9.98%
Epoch [90/150], Step [4/4],                     Training Loss: 0.0039, Validation Loss: 0.0043,                     Val. error (in %) = 8.59%
Epoch [105/150], Step [4/4],                     Training Loss: 0.0036, Validation Loss: 0.0041,                     Val. error (in %) = 8.41%
Epoch [120/150], Step [4/4],                     Training Loss: 0.0032, Validation Loss: 0.0033,                     Val. error (in %) = 7.50%
Epoch [135/150], Step [4/4],                     Training Loss: 0.0023, Validation Loss: 0.0028,                     Val. error (in %) = 6.97%
Epoch [150/150], Step [4/4],                     Training Loss: 0.0021, Validation Loss: 0.0027,                     Val. error (in %) = 6.78%
